file,min_note,max_note
Bach_1_flatMIDI_3_Major_flatMIDI.mid,43,84
Chopin_1_flatMIDI(Ashkenazy)_1_Major_flatMIDI.mid,49,78
Bach_1_flatMIDI_3_minor_flatMIDI.mid,43,83
Bach_1_flatMIDI_4_minor_flatMIDI.mid,45,84
Bach_1_flatMIDI_5_minor_flatMIDI.mid,39,79
Chopin_1_flatMIDI(Ashkenazy)_11_Major_flatMIDI.mid,42,80
Shostakovich_1_flatMIDI(Scherbakov)_11_Major_flatMIDI.mid,41,90
Shostakovich_1_flatMIDI(Scherbakov)_3_minor_flatMIDI.mid,22,63
Shostakovich_1_flatMIDI(Scherbakov)_1_Major_flatMIDI.mid,44,80
Chopin_1_flatMIDI(Ashkenazy)_5_Major_flatMIDI.mid,36,88
Bach_1_flatMIDI_10_minor_flatMIDI.mid,50,84
Shostakovich_1_flatMIDI(Scherbakov)_5_Major_flatMIDI.mid,29,92
Chopin_1_flatMIDI(Ashkenazy)_9_minor_flatMIDI.mid,31,71
Shostakovich_1_flatMIDI(Scherbakov)_7_minor_flatMIDI.mid,42,82
Chopin_1_flatMIDI(Ashkenazy)_7_minor_flatMIDI.mid,30,79
Bach_1_flatMIDI_7_minor_flatMIDI.mid,41,84
Shostakovich_1_flatMIDI(Scherbakov)_6_Major_flatMIDI.mid,37,79
Bach_1_flatMIDI_0_Major_flatMIDI.mid,59,81
Shostakovich_1_flatMIDI(Scherbakov)_1_minor_flatMIDI.mid,49,84
Bach_1_flatMIDI_8_minor_flatMIDI.mid,47,83
Bach_1_flatMIDI_9_Major_flatMIDI.mid,45,83
Chopin_1_flatMIDI(Ashkenazy)_3_Major_flatMIDI.mid,39,91
Shostakovich_1_flatMIDI(Scherbakov)_7_Major_flatMIDI.mid,43,84
Chopin_1_flatMIDI(Ashkenazy)_10_minor_flatMIDI.mid,29,101
Bach_1_flatMIDI_9_minor_flatMIDI.mid,45,81
Bach_1_flatMIDI_2_minor_flatMIDI.mid,36,84
Chopin_1_flatMIDI(Ashkenazy)_4_minor_flatMIDI.mid,50,72
Bach_1_flatMIDI_8_Major_flatMIDI.mid,51,82
Bach_1_flatMIDI_11_Major_flatMIDI.mid,40,82
Bach_1_flatMIDI_5_Major_flatMIDI.mid,38,77
Bach_1_flatMIDI_1_Major_flatMIDI.mid,49,82
Bach_1_flatMIDI_1_minor_flatMIDI.mid,48,81
Bach_1_flatMIDI_2_Major_flatMIDI.mid,42,81
Bach_1_flatMIDI_4_Major_flatMIDI.mid,47,80
Shostakovich_1_flatMIDI(Scherbakov)_0_Major_flatMIDI.mid,24,87
Shostakovich_1_flatMIDI(Scherbakov)_9_Major_flatMIDI.mid,45,78
Chopin_1_flatMIDI(Ashkenazy)_2_minor_flatMIDI.mid,38,77
Shostakovich_1_flatMIDI(Scherbakov)_8_minor_flatMIDI.mid,42,93
Shostakovich_1_flatMIDI(Scherbakov)_2_Major_flatMIDI.mid,35,95
Shostakovich_1_flatMIDI(Scherbakov)_4_Major_flatMIDI.mid,47,80
Bach_1_flatMIDI_11_minor_flatMIDI.mid,42,78
Shostakovich_1_flatMIDI(Scherbakov)_10_minor_flatMIDI.mid,34,88
Chopin_1_flatMIDI(Ashkenazy)_6_Major_flatMIDI.mid,37,78
Chopin_1_flatMIDI(Ashkenazy)_0_Major_flatMIDI.mid,31,76
Chopin_1_flatMIDI(Ashkenazy)_2_Major_flatMIDI.mid,38,76
Shostakovich_1_flatMIDI(Scherbakov)_8_Major_flatMIDI.mid,39,79
Chopin_1_flatMIDI(Ashkenazy)_10_Major_flatMIDI.mid,34,79
Bach_1_flatMIDI_0_minor_flatMIDI.mid,46,75
Chopin_1_flatMIDI(Ashkenazy)_8_Major_flatMIDI.mid,39,82
Chopin_1_flatMIDI(Ashkenazy)_11_minor_flatMIDI.mid,43,78
Shostakovich_1_flatMIDI(Scherbakov)_11_minor_flatMIDI.mid,38,83
Chopin_1_flatMIDI(Ashkenazy)_4_Major_flatMIDI.mid,27,68
Shostakovich_1_flatMIDI(Scherbakov)_3_Major_flatMIDI.mid,34,82
Chopin_1_flatMIDI(Ashkenazy)_9_Major_flatMIDI.mid,33,81
Shostakovich_1_flatMIDI(Scherbakov)_10_Major_flatMIDI.mid,42,82
Bach_1_flatMIDI_10_Major_flatMIDI.mid,38,77
Shostakovich_1_flatMIDI(Scherbakov)_2_minor_flatMIDI.mid,33,89
Chopin_1_flatMIDI(Ashkenazy)_6_minor_flatMIDI.mid,37,90
Chopin_1_flatMIDI(Ashkenazy)_0_minor_flatMIDI.mid,24,75
Shostakovich_1_flatMIDI(Scherbakov)_5_minor_flatMIDI.mid,38,84
Chopin_1_flatMIDI(Ashkenazy)_5_minor_flatMIDI.mid,36,87
Bach_1_flatMIDI_6_minor_flatMIDI.mid,42,81
Chopin_1_flatMIDI(Ashkenazy)_7_Major_flatMIDI.mid,38,84
Chopin_1_flatMIDI(Ashkenazy)_8_minor_flatMIDI.mid,32,76
Bach_1_flatMIDI_6_Major_flatMIDI.mid,49,82
Shostakovich_1_flatMIDI(Scherbakov)_4_minor_flatMIDI.mid,52,81
Shostakovich_1_flatMIDI(Scherbakov)_9_minor_flatMIDI.mid,45,89
Chopin_1_flatMIDI(Ashkenazy)_3_minor_flatMIDI.mid,38,66
Bach_1_flatMIDI_7_Major_flatMIDI.mid,39,84
Chopin_1_flatMIDI(Ashkenazy)_1_minor_flatMIDI.mid,32,97
Shostakovich_1_flatMIDI(Scherbakov)_0_minor_flatMIDI.mid,31,91
Shostakovich_1_flatMIDI(Scherbakov)_6_minor_flatMIDI.mid,42,78
